layer,euclidean_knn,geodesic_knn_preservation,distance_correlation,first_pc_variance,first_2pc_variance,components_95,arc_r2,seed,accuracy,hidden_dims,parameter_count,scheme_label,target_scheme
input,1.0,0.49533333333333335,0.9999999999999999,0.5950512290000916,0.9999999403953552,2,0.9989333737356624,1,0.908,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_1,0.9409333333333334,0.48333333333333334,0.9883439265714905,0.5417925119400024,0.8614064455032349,4,0.9989449022812718,1,0.908,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_2,0.8919666666666667,0.47313333333333335,0.978090713542822,0.5324966311454773,0.8770051002502441,3,0.9988591470159202,1,0.908,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_3,0.8415333333333335,0.4598999999999999,0.9369477857519424,0.5572264194488525,0.8485279083251953,3,0.9986286984190291,1,0.908,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
logits,0.8033,0.44783333333333336,0.8843563769088489,0.6247643828392029,0.8543668389320374,3,0.998142733567377,1,0.908,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
input,1.0,0.4968,1.0,0.5912150740623474,1.0,2,0.9987367619702427,2,0.902,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_1,0.9709000000000001,0.4973666666666666,0.9935898776590543,0.5317707657814026,0.8804916143417358,3,0.9987219268884093,2,0.902,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_2,0.9226666666666669,0.48269999999999996,0.9831441735720448,0.5609326362609863,0.9026437997817993,3,0.9986674607100647,2,0.902,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_3,0.8694333333333334,0.4684333333333333,0.9550997324639833,0.5783029198646545,0.8892018795013428,3,0.998367480978531,2,0.902,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
logits,0.8210666666666666,0.45436666666666664,0.9000663341840796,0.6637132167816162,0.9305744767189026,3,0.998198255359202,2,0.902,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
input,1.0,0.4909666666666667,1.0,0.6153087019920349,1.0,2,0.9988824500129572,3,0.9186666666666666,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_1,0.9580333333333334,0.49166666666666664,0.9838553431101064,0.5274760127067566,0.8803191184997559,3,0.9988999368783043,3,0.9186666666666666,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_2,0.9213666666666668,0.4753666666666667,0.9779995672168951,0.5492568016052246,0.9135425090789795,3,0.9988205800314001,3,0.9186666666666666,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_3,0.8662000000000001,0.4613333333333333,0.9412602318223621,0.6092228889465332,0.9015712738037109,3,0.9986355716852117,3,0.9186666666666666,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
logits,0.8165,0.4455333333333334,0.8974504997072996,0.6963471174240112,0.9345247745513916,3,0.998518405984261,3,0.9186666666666666,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
input,1.0,0.5025666666666666,1.0,0.6049712300300598,1.0,2,0.9988221684537607,4,0.9193333333333333,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_1,0.9660666666666667,0.4989,0.9921524735125796,0.5045292377471924,0.8627669811248779,3,0.9987772559995177,4,0.9193333333333333,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_2,0.9190666666666668,0.486,0.9760004048692414,0.5016652941703796,0.867337703704834,3,0.9987588902639637,4,0.9193333333333333,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_3,0.8613333333333333,0.4730333333333333,0.9395929203738674,0.5619558095932007,0.8517199754714966,3,0.9983591567389458,4,0.9193333333333333,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
logits,0.8138666666666667,0.45726666666666665,0.898392566741282,0.6422533392906189,0.8896620273590088,3,0.9977334479263565,4,0.9193333333333333,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
input,1.0,0.4928666666666666,1.0,0.6008291840553284,1.0,2,0.9988845609795299,5,0.9206666666666666,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_1,0.9200666666666666,0.4794666666666667,0.9745429674018288,0.553642213344574,0.8382613658905029,3,0.9989234852368075,5,0.9206666666666666,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_2,0.8729000000000001,0.46580000000000005,0.9518391102094822,0.5537305474281311,0.8329597115516663,3,0.9988611084277684,5,0.9206666666666666,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_3,0.8545333333333335,0.4604666666666667,0.9307395787561982,0.5123806595802307,0.7969357967376709,3,0.9987542211993528,5,0.9206666666666666,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
logits,0.8335,0.45226666666666665,0.8503592387207712,0.551210343837738,0.7832901477813721,3,0.9983876495324149,5,0.9206666666666666,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
input,1.0,0.4981333333333334,1.0,0.5751194953918457,1.0,2,0.9988391626704396,6,0.9163333333333333,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_1,0.9507666666666668,0.4901333333333333,0.9891420344220476,0.5229379534721375,0.8844814300537109,3,0.9988518475713256,6,0.9163333333333333,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_2,0.9062000000000001,0.48036666666666666,0.9870205608147418,0.5436422228813171,0.9186092615127563,3,0.9988413437867935,6,0.9163333333333333,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_3,0.8722666666666667,0.47226666666666667,0.972583157435721,0.5731235146522522,0.9261294007301331,3,0.9984385322355055,6,0.9163333333333333,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
logits,0.8592000000000001,0.46906666666666663,0.9614545295390589,0.638080894947052,0.9690412878990173,2,0.9983009358515864,6,0.9163333333333333,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
input,1.0,0.4988,1.0,0.604983925819397,1.0,2,0.9987731837459732,7,0.8983333333333333,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_1,0.9582000000000002,0.4924666666666667,0.9900318386306727,0.5453974604606628,0.8751562833786011,3,0.9987895196377055,7,0.8983333333333333,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_2,0.9144666666666666,0.4778666666666667,0.9719148436043632,0.5340649485588074,0.8897817730903625,3,0.998726587886304,7,0.8983333333333333,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_3,0.8648333333333335,0.46959999999999996,0.9461165642381663,0.5615429878234863,0.8745799660682678,4,0.9984389615299516,7,0.8983333333333333,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
logits,0.8352666666666667,0.458,0.9188022376568453,0.6049962043762207,0.885212779045105,3,0.9983187439055656,7,0.8983333333333333,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
input,1.0,0.4913,1.0,0.5854165554046631,1.0,2,0.9986898536838962,8,0.924,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_1,0.9633000000000002,0.4895666666666666,0.9931477783763405,0.49904659390449524,0.8677841424942017,4,0.9987156725397514,8,0.924,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_2,0.9259333333333335,0.4759666666666667,0.9858801439403522,0.5045097470283508,0.869157075881958,3,0.9986288059551082,8,0.924,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_3,0.8945666666666667,0.46736666666666665,0.9603836414084418,0.48991072177886963,0.8328853845596313,3,0.9984824346892179,8,0.924,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
logits,0.8694333333333334,0.46223333333333333,0.9229762790654618,0.5458067655563354,0.8656032681465149,3,0.99788312277907,8,0.924,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
input,1.0,0.49866666666666665,1.0,0.5844352841377258,1.0,2,0.9986532598941781,9,0.922,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_1,0.9511666666666667,0.4904666666666667,0.9895258601934264,0.5086115598678589,0.868859052658081,3,0.9987156763272445,9,0.922,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_2,0.9028000000000002,0.4756333333333333,0.9697089657440212,0.5585044026374817,0.8729557991027832,3,0.9986015363252988,9,0.922,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_3,0.8629333333333334,0.4658333333333333,0.9536410551859862,0.5426929593086243,0.8490997552871704,4,0.9983227409036671,9,0.922,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
logits,0.8124666666666667,0.4469333333333333,0.9117548282960469,0.6481055617332458,0.8894228935241699,3,0.997862435811979,9,0.922,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
input,1.0,0.49069999999999997,1.0,0.5856068730354309,1.0,2,0.998835409970175,10,0.91,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_1,0.9443666666666668,0.4807333333333333,0.9845709874005376,0.5267950296401978,0.8679578304290771,3,0.9988433922655052,10,0.91,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_2,0.8996333333333335,0.4683333333333333,0.9637696951670189,0.5072225332260132,0.8744388818740845,3,0.9987831720329251,10,0.91,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_3,0.8708,0.4650666666666667,0.9131052250607253,0.528249204158783,0.8602374792098999,3,0.9983713936185101,10,0.91,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
logits,0.8258333333333333,0.4514333333333333,0.848627388155198,0.6270057559013367,0.9147560596466064,3,0.9981134247599114,10,0.91,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
input,1.0,0.49533333333333335,0.9999999999999999,0.5950512290000916,0.9999999403953552,2,0.9989333737356624,1,0.8373333333333334,"(64, 64, 32)",7488,observed_y,y_bins
hidden_1,0.9016000000000001,0.5113,0.9544004811391422,0.6365074515342712,0.8775625824928284,3,0.9989046129703038,1,0.8373333333333334,"(64, 64, 32)",7488,observed_y,y_bins
hidden_2,0.4841666666666667,0.3598,0.7066633425056211,0.9601015448570251,0.9954366683959961,1,0.9982049857299614,1,0.8373333333333334,"(64, 64, 32)",7488,observed_y,y_bins
hidden_3,0.27326666666666666,0.1969666666666667,0.694689351557616,0.9075731635093689,0.9899836182594299,2,0.7084583775230708,1,0.8373333333333334,"(64, 64, 32)",7488,observed_y,y_bins
logits,0.242,0.172,0.6961540435640344,0.9265933036804199,0.9956491589546204,2,0.5722164958955271,1,0.8373333333333334,"(64, 64, 32)",7488,observed_y,y_bins
input,1.0,0.4968,1.0,0.5912150740623474,1.0,2,0.9987367619702427,2,0.8686666666666667,"(64, 64, 32)",7488,observed_y,y_bins
hidden_1,0.8713333333333333,0.5166999999999999,0.9295924069978723,0.6872597932815552,0.8963479995727539,3,0.9987076425867075,2,0.8686666666666667,"(64, 64, 32)",7488,observed_y,y_bins
hidden_2,0.4998666666666666,0.3735333333333334,0.6977088173022465,0.9417994022369385,0.9946776032447815,2,0.9981702329714662,2,0.8686666666666667,"(64, 64, 32)",7488,observed_y,y_bins
hidden_3,0.3114,0.23213333333333333,0.6715847471488132,0.8283156752586365,0.9754427075386047,2,0.9341969917760932,2,0.8686666666666667,"(64, 64, 32)",7488,observed_y,y_bins
logits,0.287,0.21203333333333335,0.6657635463006176,0.8130834102630615,0.9826606512069702,2,0.901759580352443,2,0.8686666666666667,"(64, 64, 32)",7488,observed_y,y_bins
input,1.0,0.4909666666666667,1.0,0.6153087019920349,1.0,2,0.9988824500129572,3,0.8613333333333333,"(64, 64, 32)",7488,observed_y,y_bins
hidden_1,0.8536,0.5087666666666667,0.9085902207211367,0.7181689739227295,0.9079173803329468,3,0.9988824811582455,3,0.8613333333333333,"(64, 64, 32)",7488,observed_y,y_bins
hidden_2,0.4391333333333334,0.3269333333333333,0.6935200363513175,0.8990065455436707,0.9934252500534058,2,0.9980890534563026,3,0.8613333333333333,"(64, 64, 32)",7488,observed_y,y_bins
hidden_3,0.2919333333333333,0.21473333333333336,0.6531709135807279,0.7349531054496765,0.9841459393501282,2,0.8350736903368375,3,0.8613333333333333,"(64, 64, 32)",7488,observed_y,y_bins
logits,0.28090000000000004,0.2067,0.600557309110417,0.634718656539917,0.9901883006095886,2,0.6509283350835685,3,0.8613333333333333,"(64, 64, 32)",7488,observed_y,y_bins
input,1.0,0.5025666666666666,1.0,0.6049712300300598,1.0,2,0.9988221684537607,4,0.885,"(64, 64, 32)",7488,observed_y,y_bins
hidden_1,0.8448333333333333,0.524,0.9078775405163614,0.7094891667366028,0.8910446166992188,4,0.9988165637237467,4,0.885,"(64, 64, 32)",7488,observed_y,y_bins
hidden_2,0.42813333333333337,0.3304666666666667,0.6804071915786014,0.8534542918205261,0.9944922924041748,2,0.9982027378440307,4,0.885,"(64, 64, 32)",7488,observed_y,y_bins
hidden_3,0.2542,0.1915666666666667,0.5694424869786255,0.6184977293014526,0.9786520600318909,2,0.7054244911933374,4,0.885,"(64, 64, 32)",7488,observed_y,y_bins
logits,0.2189333333333333,0.16673333333333334,0.3694941813725804,0.7909095287322998,0.9883612990379333,2,0.5662587277037623,4,0.885,"(64, 64, 32)",7488,observed_y,y_bins
input,1.0,0.4928666666666666,1.0,0.6008291840553284,1.0,2,0.9988845609795299,5,0.8983333333333333,"(64, 64, 32)",7488,observed_y,y_bins
hidden_1,0.9088,0.5069,0.9743882480625237,0.5784956216812134,0.8686889410018921,3,0.998943023847454,5,0.8983333333333333,"(64, 64, 32)",7488,observed_y,y_bins
hidden_2,0.511,0.377,0.7041542315333276,0.9127810597419739,0.9918124675750732,2,0.9987740082101411,5,0.8983333333333333,"(64, 64, 32)",7488,observed_y,y_bins
hidden_3,0.30533333333333335,0.22480000000000003,0.6810797956481072,0.8350909948348999,0.9912350177764893,2,0.7682305912971161,5,0.8983333333333333,"(64, 64, 32)",7488,observed_y,y_bins
logits,0.26636666666666664,0.19573333333333334,0.6780273792023734,0.8276293873786926,0.9967069625854492,2,0.4475819569892092,5,0.8983333333333333,"(64, 64, 32)",7488,observed_y,y_bins
input,1.0,0.4981333333333334,1.0,0.5751194953918457,1.0,2,0.9988391626704396,6,0.8823333333333333,"(64, 64, 32)",7488,observed_y,y_bins
hidden_1,0.8852000000000001,0.5134666666666667,0.9462572086486114,0.6483557224273682,0.8977912664413452,3,0.9988404996113479,6,0.8823333333333333,"(64, 64, 32)",7488,observed_y,y_bins
hidden_2,0.4826,0.3612,0.704860636233361,0.970869243144989,0.9949710369110107,1,0.9983987967962559,6,0.8823333333333333,"(64, 64, 32)",7488,observed_y,y_bins
hidden_3,0.3149666666666667,0.23703333333333335,0.6937765218326198,0.9368476867675781,0.9945958852767944,2,0.9215938958675693,6,0.8823333333333333,"(64, 64, 32)",7488,observed_y,y_bins
logits,0.27913333333333334,0.20806666666666668,0.6984036541116799,0.9648964405059814,0.9978700876235962,1,0.8589696120807552,6,0.8823333333333333,"(64, 64, 32)",7488,observed_y,y_bins
input,1.0,0.4988,1.0,0.604983925819397,1.0,2,0.9987731837459732,7,0.8373333333333334,"(64, 64, 32)",7488,observed_y,y_bins
hidden_1,0.8645666666666667,0.5182333333333333,0.9292023723064,0.6907709836959839,0.8997610807418823,3,0.9987625151925471,7,0.8373333333333334,"(64, 64, 32)",7488,observed_y,y_bins
hidden_2,0.4876666666666667,0.3693666666666666,0.7030278512435932,0.9495722055435181,0.9948894381523132,2,0.9984091977683888,7,0.8373333333333334,"(64, 64, 32)",7488,observed_y,y_bins
hidden_3,0.2857333333333333,0.2152,0.6827377317479913,0.856617271900177,0.9878444671630859,2,0.9171613372448606,7,0.8373333333333334,"(64, 64, 32)",7488,observed_y,y_bins
logits,0.25103333333333333,0.1886,0.6823519484862628,0.870940089225769,0.9948143362998962,2,0.4733205488735477,7,0.8373333333333334,"(64, 64, 32)",7488,observed_y,y_bins
input,1.0,0.4913,1.0,0.5854165554046631,1.0,2,0.9986898536838962,8,0.8576666666666667,"(64, 64, 32)",7488,observed_y,y_bins
hidden_1,0.8707000000000001,0.5110666666666667,0.9433391207767159,0.645817756652832,0.894027590751648,4,0.9987313207627568,8,0.8576666666666667,"(64, 64, 32)",7488,observed_y,y_bins
hidden_2,0.4538999999999999,0.34626666666666667,0.7030303335540743,0.9274229407310486,0.9937165379524231,2,0.9975718224250018,8,0.8576666666666667,"(64, 64, 32)",7488,observed_y,y_bins
hidden_3,0.2705333333333334,0.20340000000000003,0.6768551615246196,0.8109279870986938,0.9774339199066162,2,0.8587804080357464,8,0.8576666666666667,"(64, 64, 32)",7488,observed_y,y_bins
logits,0.25056666666666666,0.187,0.6668295440797546,0.7700849175453186,0.9859542846679688,2,0.6034099984561925,8,0.8576666666666667,"(64, 64, 32)",7488,observed_y,y_bins
input,1.0,0.49866666666666665,1.0,0.5844352841377258,1.0,2,0.9986532598941781,9,0.836,"(64, 64, 32)",7488,observed_y,y_bins
hidden_1,0.8633666666666668,0.5198333333333334,0.9371839359052024,0.668203592300415,0.891318142414093,3,0.9986713207250123,9,0.836,"(64, 64, 32)",7488,observed_y,y_bins
hidden_2,0.47086666666666666,0.3669333333333334,0.7043448329296847,0.9598152041435242,0.99595707654953,1,0.9980306339972739,9,0.836,"(64, 64, 32)",7488,observed_y,y_bins
hidden_3,0.31393333333333334,0.24059999999999998,0.6874422207369084,0.8705361485481262,0.982822835445404,2,0.8627999423442143,9,0.836,"(64, 64, 32)",7488,observed_y,y_bins
logits,0.3070333333333333,0.23423333333333335,0.6880964375401273,0.8854477405548096,0.9915071129798889,2,0.7928625030768013,9,0.836,"(64, 64, 32)",7488,observed_y,y_bins
input,1.0,0.49069999999999997,1.0,0.5856068730354309,1.0,2,0.998835409970175,10,0.8533333333333334,"(64, 64, 32)",7488,observed_y,y_bins
hidden_1,0.8808666666666668,0.5092333333333333,0.9510071987030241,0.6274898052215576,0.8873475790023804,4,0.9988247495556317,10,0.8533333333333334,"(64, 64, 32)",7488,observed_y,y_bins
hidden_2,0.47519999999999996,0.3541666666666667,0.6866992164686461,0.9003952145576477,0.9939281940460205,2,0.9980767011021413,10,0.8533333333333334,"(64, 64, 32)",7488,observed_y,y_bins
hidden_3,0.36143333333333333,0.2675666666666667,0.6505859524829803,0.7552943229675293,0.9808288812637329,2,0.9542529409918554,10,0.8533333333333334,"(64, 64, 32)",7488,observed_y,y_bins
logits,0.3343333333333333,0.24613333333333332,0.6356528357864102,0.7484956979751587,0.9871291518211365,2,0.9267319922957269,10,0.8533333333333334,"(64, 64, 32)",7488,observed_y,y_bins
